sigma,method,nmi,simulation,signal_strength
3.728,spectral_unnormalized,0.6349910030198423,0,0.14390576359851903
3.728,rpca,0.5541718004161501,0,0.14390576359851903
3.728,outlier_pursuit,0.018639764244343528,0,0.14390576359851903
3.728,spectral_unnormalized,0.8585594574581795,1,0.14390576359851903
3.728,rpca,0.8782063702756283,1,0.14390576359851903
3.728,outlier_pursuit,0.018639764244343528,1,0.14390576359851903
3.728,spectral_unnormalized,0.7648442977525683,2,0.14390576359851903
3.728,rpca,0.7149460394223504,2,0.14390576359851903
3.728,outlier_pursuit,0.018639764244343528,2,0.14390576359851903
3.728,spectral_unnormalized,0.8079616479391555,3,0.14390576359851903
3.728,rpca,0.8347636587075117,3,0.14390576359851903
3.728,outlier_pursuit,0.018639764244343528,3,0.14390576359851903
3.728,spectral_unnormalized,1.0,4,0.14390576359851903
3.728,rpca,0.8782063702756283,4,0.14390576359851903
3.728,outlier_pursuit,0.018639764244343528,4,0.14390576359851903
3.728,spectral_unnormalized,0.8585594574581795,5,0.14390576359851903
3.728,rpca,0.7648442977525683,5,0.14390576359851903
3.728,outlier_pursuit,0.018639764244343528,5,0.14390576359851903
3.728,spectral_unnormalized,0.9291252238549075,6,0.14390576359851903
3.728,rpca,0.7961285220549096,6,0.14390576359851903
3.728,outlier_pursuit,0.018639764244343528,6,0.14390576359851903
3.728,spectral_unnormalized,0.7648442977525683,7,0.14390576359851903
3.728,rpca,0.7265356414540421,7,0.14390576359851903
3.728,outlier_pursuit,0.018639764244343528,7,0.14390576359851903
3.728,spectral_unnormalized,0.8782063702756283,8,0.14390576359851903
3.728,rpca,0.6917588737329794,8,0.14390576359851903
3.728,outlier_pursuit,0.018639764244343528,8,0.14390576359851903
3.728,spectral_unnormalized,0.8079616479391555,9,0.14390576359851903
3.728,rpca,0.8585594574581797,9,0.14390576359851903
3.728,outlier_pursuit,0.018639764244343528,9,0.14390576359851903
5.179,spectral_unnormalized,0.22582638531252477,0,0.07456554107869717
5.179,rpca,0.3904935986852873,0,0.07456554107869717
5.179,outlier_pursuit,0.018639764244343528,0,0.07456554107869717
5.179,spectral_unnormalized,0.3987532145992851,1,0.07456554107869717
5.179,rpca,0.3180138549429572,1,0.07456554107869717
5.179,outlier_pursuit,0.018639764244343528,1,0.07456554107869717
5.179,spectral_unnormalized,0.44297551540683705,2,0.07456554107869717
5.179,rpca,0.386427522941435,2,0.07456554107869717
5.179,outlier_pursuit,0.018639764244343528,2,0.07456554107869717
5.179,spectral_unnormalized,0.47823917219523926,3,0.07456554107869717
5.179,rpca,0.5054552642988157,3,0.07456554107869717
5.179,outlier_pursuit,0.018639764244343528,3,0.07456554107869717
5.179,spectral_unnormalized,0.7149460394223504,4,0.07456554107869717
5.179,rpca,0.5816101791805874,4,0.07456554107869717
5.179,outlier_pursuit,0.018639764244343528,4,0.07456554107869717
5.179,spectral_unnormalized,0.5333833942150725,5,0.07456554107869717
5.179,rpca,0.37244657461030595,5,0.07456554107869717
5.179,outlier_pursuit,0.018639764244343528,5,0.07456554107869717
5.179,spectral_unnormalized,0.6917588737329793,6,0.07456554107869717
5.179,rpca,0.6109637147284563,6,0.07456554107869717
5.179,outlier_pursuit,0.018639764244343528,6,0.07456554107869717
5.179,spectral_unnormalized,0.3471782550370134,7,0.07456554107869717
5.179,rpca,0.3931934722666314,7,0.07456554107869717
5.179,outlier_pursuit,0.018639764244343528,7,0.07456554107869717
5.179,spectral_unnormalized,0.5816101791805875,8,0.07456554107869717
5.179,rpca,0.5697389043881019,8,0.07456554107869717
5.179,outlier_pursuit,0.018639764244343528,8,0.07456554107869717
5.179,spectral_unnormalized,0.3180138549429572,9,0.07456554107869717
